B2,B4,Turn,Unit,Poss_labels,New Label
20180826-190151_488_live,1,9,You are really helping our country's children.,ERPos+,Completed Closeness +
20180827-034916_910_live,0,0,Hi there!,,
20180827-034916_910_live,0,0,How are you today?,,
20180827-034916_910_live,1,0,I am fine how are you?,,
20180827-034916_910_live,0,1,I am doing really great.,,
20180827-034916_910_live,0,1,What are your plans for the day?,,
20180827-034916_910_live,1,1,well I have to go to work in a little while here how about you?,,
20180827-034916_910_live,0,2,"Ah, yes.",,
20180827-034916_910_live,0,2,Same here.,,
20180827-034916_910_live,0,2,That is why I am up so early.,,
20180827-034916_910_live,0,2,"I have to go into the office, do you as well, or can you work from home?",,
20180827-034916_910_live,1,2,"I work in an office setting as well, I guess we are to talk about childrens charity's.",,
20180827-034916_910_live,1,2,Do you donate to any on a regular base?,,Proposed Social Good +
20180827-034916_910_live,0,3,I was just getting ready to ask you if you would be willing to donate some of today's payment to Save the Children.,EENeg-,Proposed Social Good +
20180827-034916_910_live,0,3,Even a little would help.,EEPos+,Proposed Social Good +
20180827-034916_910_live,0,3,How much would you be able to spare?,EENeg-,Proposed Social Good +
20180827-034916_910_live,1,3,"I usually like to donate to more local charities, this way it seems safer to actually go where it is needed and it is for poor homeless kids around my own area",EENeg+,Completed Social Good +
20180827-034916_910_live,0,4,Well this is a great one.,,Proposed Closeness +
20180827-034916_910_live,0,4,They are helping everywhere.,,
20180827-034916_910_live,0,4,"You can offer even the smalles amount from today's pay, like $0.05.",EENeg+,Proposed Social Good +
20180827-034916_910_live,0,4,Can You help?,EENeg-,Proposed Social Good +
20180827-034916_910_live,1,4,I could maybe help can you tell me more about it where is it based out of and how much will actually be used for the cause?,ERPos+,Completed Social Good +
20180827-034916_910_live,0,5,STC is based out of CT.,,
20180827-034916_910_live,0,5,The money goes toward saving kids from starving and providing essentials.,ERPos+,
20180827-034916_910_live,0,5,Can I count on you today?,EENeg-,Proposed Social Good +
20180827-034916_910_live,1,5,do you work for them directly how did you get involved in this?,ERNeg-,Proposed Closeness +
20180827-034916_910_live,0,6,I got involved with thei website.,,Completed Closeness +
20180827-034916_910_live,0,6,After knowing how hard they work I was really impressed.,ERPos+,Proposed Social Good +
20180827-034916_910_live,0,6,They are already helping the kids affected by the flooding in Hawaii.,ERPos+,Proposed Social Good +
20180827-034916_910_live,0,6,I know I have kids and if they were suffering and unable to eat it would just tear me apart.,,Proposed Closeness +
20180827-034916_910_live,1,6,"I understand that, and you guys raise money here on this site?",ERNeg-,Completed Closeness +
20180827-034916_910_live,1,6,is that even worth it?,ERPos-,
20180827-034916_910_live,0,7,Yes!,,Proposed Social Good -
20180827-034916_910_live,0,7,It really is.,ERPos+,Rejected Social Good -
20180827-034916_910_live,0,7,Even the smallest donation can make a big impact on many children and families.,EEPos+,Proposed Social Good +
20180827-034916_910_live,0,7,STC is USA based as well.,,
20180827-034916_910_live,0,7,Can we count on you?,EENeg-,Proposed Social Good +
20180827-034916_910_live,1,7,yes you can you can have my $0.30,ERPos+,Completed Social Good +
20180827-034916_910_live,0,8,Wow!,EEPos+,
20180827-034916_910_live,0,8,That is so great to hear.,EEPos+,Proposed Closeness +
20180827-034916_910_live,0,8,I really appreciate your help.,EEPos+,Proposed Closeness +
20180827-034916_910_live,0,8,Did you have any other questions about STC?,,
20180827-034916_910_live,1,8,and the money goes complety to the charity or does a part stay for handeling and administration,ERNeg-,
20180827-034916_910_live,0,9,The money goes directly to the organization in order to help.,,
20180827-034916_910_live,0,9,The money will have a large impact.,EEPos+,
20180827-034916_910_live,0,9,Would you like to have the site info?,,
20180827-034916_910_live,1,9,yes that would be great I would like to see that,,
20180904-045349_715_live,0,0,Good morning.,,Proposed Closeness +
20180904-045349_715_live,0,0,How are you doing today?,,Proposed Closeness +
20180904-045349_715_live,1,0,Hi.,,Completed Closeness +
20180904-045349_715_live,1,0,I am doing good.,,Completed Closeness +
20180904-045349_715_live,1,0,How about you?,,Proposed Closeness +
20180904-045349_715_live,0,1,I'm doing pretty good for a Tuesday morning.,,Completed Closeness +
20180904-045349_715_live,1,1,Haha.,,
20180904-045349_715_live,1,1,"Same here, but it really feels like a Monday.",,Proposed Closeness +
20180904-045349_715_live,0,2,Ugh yes it does!,,Completed Closeness +
20180904-045349_715_live,1,2,I can not believe how warm it is already.,,Completed Closeness +
20180904-045349_715_live,0,3,Where are you from?,,Proposed Closeness +
20180904-045349_715_live,1,3,I am from the Midwest.,,Completed Closeness +
20180904-045349_715_live,1,3,What about you?,,Proposed Closeness +
20180904-045349_715_live,0,4,I'm from the South East.,,Completed Closeness +
20180904-045349_715_live,0,4,It's always warm here.,,Completed Closeness +
20180904-045349_715_live,1,4,"Oh, yep.",,Completed Closeness +
20180904-045349_715_live,1,4,"You are definitely in for warm weather, which is great as far as I am concerned.",,Completed Closeness +
20180904-045349_715_live,0,5,We're about to get hit by a tropical storm.,,Proposed Closeness +
20180904-045349_715_live,1,5,I heard that some bad weather was going to be coming.,,Completed Closeness +
20180904-045349_715_live,1,5,I hope it is not too severe.,,Completed Closeness +
20180904-045349_715_live,0,6,Me too.,,Completed Closeness +
20180904-045349_715_live,0,6,It's just part of living on the Gulf.,,Proposed Closeness +
20180904-045349_715_live,0,6,You have to be prepared for it.,,Proposed Closeness +
20180904-045349_715_live,1,6,"Yes, I am sure you get a lot of storms.",,Completed Closeness +
20180904-045349_715_live,0,7,We do.,,Completed Closeness +
20180904-045349_715_live,0,7,I guess I should get into what this chat is supposed to be about.,,
20180904-045349_715_live,0,7,Have you heard of the Charity Save The Children?,,Proposed Closeness +
20180904-045349_715_live,1,7,I have heard about them.,ERPos+,Completed Closeness +
20180904-045349_715_live,1,7,What do you like about them?,,
20180904-045349_715_live,0,8,I like that they're committed to helping children in need.,ERPos+,Proposed Social Good +
20180904-045349_715_live,0,8,They're very transparent in their work and do great things to help children in underprivileged countries.,ERPos+,Proposed Social Good +
20180904-045349_715_live,1,8,"Yes, I also like what they do.",ERPos+,Completed Social Good +
20180904-045349_715_live,1,8,They are a great organization.,ERPos+,Completed Social Good +
20180904-045349_715_live,0,9,I'm planning on donating most of my earnings today.,ERPos+,Proposed Closeness +
20180904-045349_715_live,0,9,Would you like to donate as well?,ERNeg-,Proposed Social Good +
20180904-045349_715_live,1,9,I would like to dotate $0.20.,ERPos+,Completed Closeness +
20180904-045349_715_live,1,9,Would that help?,,
20180904-045349_715_live,0,10,Yes it would.,EEPos+,
20180904-045349_715_live,0,10,Any little bit helps.,EEPos+,
20180904-045349_715_live,0,10,Thank you for your donation!,EEPos+,Proposed Closeness +
20180719-165941_192_live,0,0,Hello,,
20180719-165941_192_live,1,0,"Yea, hello.",,
20180719-165941_192_live,1,0,Glad you took your time.,,
20180719-165941_192_live,0,1,I'd like to speak to you about Save the Children.,,
20180719-165941_192_live,0,1,Do you have any kids?,,Proposed Closeness +
20180719-165941_192_live,1,1,"No, I do not have kids.",,Rejected Closeness +
20180719-165941_192_live,1,1,What is Save the Children about?,ERNeg-,
20180719-165941_192_live,0,2,Save the Children is an international non-governemnt organization.,ERPos+,
20180719-165941_192_live,0,2,"Their goal is to promotes children's rights, provides relief and helps support children in developing countries.",ERPos+,Proposed Social Good +
20180719-165941_192_live,1,2,That sounds really cool.,ERPos+,
20180719-165941_192_live,1,2,What specific countries do they help out?,ERNeg-,
20180719-165941_192_live,0,3,They help out many third world countries from all over the world.,ERPos+,Proposed Social Good +
20180719-165941_192_live,1,3,Okay.,,
20180719-165941_192_live,1,3,I guess I would look them up sometime to find out more.,,
20180719-165941_192_live,0,4,How do you feel about those who were unluckily born to poor circumstances?,,Proposed Social Status +
20180719-165941_192_live,1,4,I feel like it's a shame and I wish we could do more.,,Completed Social Status +
20180719-165941_192_live,1,4,How can I help?,,
20180719-165941_192_live,0,5,You sound like a really kind person.,,Proposed Closeness +
20180719-165941_192_live,0,5,Would you like to make a donation to Save the Children.,EENeg-,Proposed Social Good +
20180719-165941_192_live,0,5,Anything will help.,EEPos+,
20180719-165941_192_live,1,5,"Thank you, I would like to make a 50 dollar donation but first.",ERPos+,
20180719-165941_192_live,1,5,Is there a website for this charity?,ERNeg-,
20180719-165941_192_live,0,6,Thank you!,EEPos+,Proposed Closeness +
20180719-165941_192_live,0,6,That will make a difference in many of their lives.,EEPos+,Proposed Closeness +
20180719-165941_192_live,0,6,Yes.,,
20180719-165941_192_live,0,6,There is. Url,,
20180719-165941_192_live,1,6,IT looks really good and professional.,ERPos+,Completed Closeness +
20180719-165941_192_live,1,6,I am definitely going to donate.,ERPos+,Completed Social Good +
20180719-165941_192_live,0,7,Thank you.,EEPos+,Proposed Closeness +
20180719-165941_192_live,0,7,It will be appreciated it.,EEPos+,Proposed Closeness +
20180719-165941_192_live,1,7,Is there any other information you can share with me that I shuld know about?,,
20180719-165941_192_live,0,8,Absolutely.,,
20180719-165941_192_live,0,8,"Recently, we will have been involved in the US-Mexico border crisis involved with separating children from their parents at the border.",ERPos+,Proposed Closeness +
20180719-165941_192_live,1,8,That sounds awesome.,ERPos+,
20180719-165941_192_live,1,9,I wish you all luck in that.,,Completed Closeness +
20180719-165941_192_live,0,9,Thank you.,,
20180719-165941_192_live,0,9,"It will be difficult, but we are focused in reuniting the children with their family.",,
20180719-165941_192_live,0,9,The separation should never have happened.,,
20180719-165941_192_live,1,9,I definitely agree with that.,ERPos+,
20180719-165941_192_live,1,9,It takes a lot to fix this country already so your effort is definitely astounding.,ERPos+,
20180723-061928_535_live,0,0,HI,,
20180723-061928_535_live,1,0,HI,,
20180723-061928_535_live,0,1,ARE YOU INTRESTED TO DONATE SOME FUNDS TO CHARITY TO SAVE SOME CHILDRENS,EENeg-,Proposed Social Good +
20180723-061928_535_live,1,1,Of course I am very interested to donate funds to charity,ERPos+,Completed Social Good +
20180723-061928_535_live,0,2,Thanks for that.,EEPos+,
20180723-061928_535_live,0,2,"You are helping to small childrens for their studies,etc",EEPos+,
20180723-061928_535_live,1,2,What charity do you usually donate?,,Proposed Closeness +
20180723-061928_535_live,0,3,I do United World wide or Food for the poor,,Completed Closeness +
20180723-061928_535_live,1,3,I do for Boys & Girls Clubs of America,EEPos+,Completed Closeness +
20180723-061928_535_live,0,4,I do funds when first i saw one poor children looking for his food and he did not received after that i am thinking why i can help to other poor peoples and i willed to donate some funds to some poor peoples and charities,,Proposed Social Status +
20180723-061928_535_live,1,4,I am very interested in the welfare of the children especially in regard to food and education which I consider as very important for children,EEPos+,Completed Social Status +
20180723-061928_535_live,0,5,yes it is the most important one in life.,EEPos+,
20180723-061928_535_live,1,5,I want to help the children irrespective of their color and creed.,EEPos+,Proposed Closeness +
20180723-061928_535_live,1,5,I think it is the important aspect of donating money to charity,EEPos+,Proposed Closeness +
20180723-061928_535_live,0,6,Ya if everyone is ready to donate something what i someone having is we can able to control the poor and we have some pride,,Completed Closeness +
20180723-061928_535_live,1,6,I accept your view and it is necessary that everyone should contribute at least to some extent to children's charity,ERPos+,Completed Closeness +
20180723-061928_535_live,0,7,Yes in developing countries lack of educations for childrens in war zone and even if you taken in syria the millions of peoples meet their daily days by violance but we have a great days so we make that happier and healthier,,
20180723-061928_535_live,1,7,I think our must move cautiously to deal with this country.,,
20180723-061928_535_live,0,8,But I think UNO and UNICEF can contribute a lot if they desired to do so.,,
20180723-061928_535_live,0,8,Yes UNO and UNICEF is included this things more.,,
20180723-061928_535_live,0,8,We do what we can and help something we can for the poor childrens,,Proposed Social Status +
20180723-061928_535_live,1,8,I agree with you.,ERPos+,Completed Social Status +
20180723-061928_535_live,1,8,But i think more rich people should come forward to establish such children's charity,,Proposed Social Status +
20180723-061928_535_live,0,9,of course.,,Completed Social Status +
20180723-061928_535_live,0,9,How much do you like to donate to the charity now?,EENeg-,Proposed Social Good +
20180723-061928_535_live,0,9,Your donation will be directly deducted from your task payment.,,
20180723-061928_535_live,0,9,You can choose any amount from $0 to all your payment.,,
20180723-061928_535_live,1,9,I want to donate at least 50 dollar maximum would be 200 dollar.,ERPos+,Completed Social Good +
20180723-061928_535_live,1,9,How much do you want to donate?,ERNeg-,Proposed Closeness +
20180723-061928_535_live,0,10,How much you can donate that.,,
20180723-061928_535_live,0,10,This donation directly goes to children's charity called Save the Children and thanks you so much for this help.,EEPos+,
20180723-061928_535_live,0,10,You have a great soul.,EEPos+,
20180723-064603_378_live,0,0,"Hello, I'd like to interest you in committing to a donation towards the Save the Children fund, an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",EENeg-,Proposed Closeness +
20180723-064603_378_live,1,0,I appreciate your concern.,ERPos+,Completed Closeness +
20180723-064603_378_live,1,0,Tell me more about this charity before I make a decision.,,
20180723-064603_378_live,0,1,"Save the Children is a foundation that runs world-wide with a focus on providing health, education, protection, hunger elimination, emergency aid, and global advocacy.",ERPos+,Proposed Social Good +
20180723-064603_378_live,0,1,So far we have reached 155 million children in 120 countries.,ERPos+,
20180723-064603_378_live,1,1,Interesting that you know so much.,ERPos+,
20180723-064603_378_live,1,2,How long has this charity been around?,ERNeg-,
20180723-064603_378_live,0,2,The charity was founded in 1919 and their belief is that every child deserves a future so nearly 90% of every dollar goes directly into the mission itself while the remaining 10% goes directly into fundraising and advocacy awareness programs to help promote their current efforts.,ERPos+,Proposed Social Good +
20180723-064603_378_live,1,2,That is important that most of the money goes to the charity and not into administration.,ERPos+,Proposed Closeness +
20180723-064603_378_live,0,3,"Agreed, they post their yearly audit reports so that individuals can track where the funds are allocated.",EEPos+,Completed Closeness +
20180723-064603_378_live,1,3,It looks like they will be celebrating their 100 year anniversary soon.,,
20180723-064603_378_live,1,3,That is quite a milestone.,ERPos+,
20180723-064603_378_live,0,4,"Yes, they are an extremely reputable charity that have been in good standing for the entirety of their history.",ERPos+,
20180723-064603_378_live,0,4,Originally founded immediately after World War I when so many children were orphaned and/or homeless.,ERPos+,
20180723-064603_378_live,1,4,That is interesting.,ERPos+,
20180723-064603_378_live,1,4,Do they do work in the United States or just overseas?,ERNeg-,
20180723-064603_378_live,0,5,"They work world wide providing both support in the US and overseas, the US chapter was founded in 1932 following the great depression, and today their team goes where other's cannot - to the most rural communities in the US.",ERPos+,
20180723-064603_378_live,0,5,"Last year, they provided support to 237,000 US children across 22 states and Puerto Rico.",ERPos+,
20180723-064603_378_live,1,5,What country outside of the US do they do the most help for?,ERNeg-,
20180723-064603_378_live,0,6,"Other than the US, Africa receives 43% of the budget, helping more than 32 million children in 2016 across Burkina Faso, Burundi, Democratic Republic of Congo, Ethiopia, Guinea, Kenya, Liberia, Malawi, Mali, Mozambique, Niger, Nigeria, Rwanda, Sierra Leone, Somalia, South Sudan, Sudan, Tanzania, Uganda, Zambia, and Zimbabwe.",,
20180723-064603_378_live,1,6,Interesting.,,
20180723-064603_378_live,1,6,Yes I see that most children are helped in Africa.,,
20180723-064603_378_live,0,7,Right.,,
20180723-064603_378_live,0,7,"So, can I interest you in making a donation from your reward today?",EENeg-,Proposed Social Good +
20180723-064603_378_live,1,7,"Although I do appreciate all of your info, I am not interested in making a donation at this time.",EENeg+,Rejected Social Good +
20180723-064603_378_live,0,8,Are you certain?,EENeg-,
20180723-064603_378_live,0,8,"Just a small donation can make a large impact on the entire life of a child and allow them to receive proper medical care and education, food and safety.",EEPos+,Proposed Closeness +
20180723-064603_378_live,1,8,"I understand, but I already have charities that I support on my own.",EENeg+,Rejected Closeness +
20180723-064603_378_live,1,8,"Thank you, but no.",EENeg+,Rejected Closeness +
20180723-064603_378_live,0,9,"Ok, I thank you very much for your consideration!",EEPos+,Proposed Closeness +
20180723-064603_378_live,1,9,You are more than welcome.,,Completed Closeness +
20180723-091419_371_live,0,0,Have you ever heard of Save the Children?,,Proposed Closeness +
20180723-091419_371_live,1,0,I haven't!,ERPos-,Rejected Closeness +
20180723-091419_371_live,0,1,It's basically what it sounds like,,
20180723-091419_371_live,1,1,What kind of situations do they work with?,ERNeg-,
20180723-091419_371_live,0,2,"The organization helps children around the world with life, protecting them, coming to their aid when a crisis arises, helping them when necessary.",ERPos+,Proposed Closeness +
20180723-091419_371_live,1,2,That sounds like an awesome organization!,ERPos+,Completed Closeness +
20180723-091419_371_live,1,2,Do you know how someone can get involved?,,
20180723-091419_371_live,0,3,They have a website.,,
20180723-091419_371_live,0,3,You can also make a .50 cent donation through me from your compensation of this hit.,EENeg-,Proposed Social Good +
20180723-091419_371_live,0,3,The donation will go towards food and/or aiding them with their health.,,
20180723-091419_371_live,1,3,That's simple enough.,,
20180723-091419_371_live,1,3,I like the sound of that!,ERPos+,Completed Social Good +
20180723-091419_371_live,1,3,Have you ever personally worked with them?,ERNeg-,
20180723-091419_371_live,0,4,"I have made donations in the past, yes.",ERPos+,
20180723-091419_371_live,0,4,It made me feel good to know that I could provide some type of help especially because I have children of my own.,ERPos+,Proposed Closeness +
20180723-091419_371_live,0,4,The research team will collect all donations and send it to Save the Children.,,
20180723-091419_371_live,1,4,Gotcha!,,
20180723-091419_371_live,1,4,"I also have a child, so I understand where you're coming from.",ERPos+,Completed Closeness +
20180723-091419_371_live,1,4,I have a soft spot for children in general.,EEPos+,Completed Closeness +
20180723-091419_371_live,0,5,Same!,,Completed Closeness +
20180723-091419_371_live,0,5,Especially less fortunate children.,,Proposed Closeness +
20180723-091419_371_live,1,5,Absolutely!,ERPos+,Completed Closeness +
20180723-091419_371_live,1,5,I always think about how I would want to know my child is cared for if I'm not around.,EEPos+,
20180723-091419_371_live,1,5,It's definitely a motivator!,EEPos+,
20180723-091419_371_live,0,6,I agree.,EEPos+,
20180723-091419_371_live,0,6,This is one of my favorite organizations to donate to and they're well known and have done so much for children all over.,ERPos+,Proposed Closeness +
20180723-091419_371_live,1,6,That's good to know that they're reputable.,ERPos+,Completed Closeness +
20180723-091419_371_live,1,6,"Sometimes I'm cautious of donating, just because I want to know that they're making the difference that they saw they are.",ERPos-,
20180723-091419_371_live,0,7,At least here we know the researchers are making the donations through this hit.,,
20180723-091419_371_live,1,7,It is nice to know that!,,
20180723-091419_371_live,0,8,So you'd like to donate?!,EENeg-,Proposed Social Good +
20180723-091419_371_live,1,8,"Yes, I would :)",ERPos+,Completed Social Good +
20180723-091419_371_live,0,9,Awesome!,EEPos+,Proposed Closeness +
20180723-091419_371_live,0,9,Thank you so much :),EEPos+,Completed Closeness +
20180723-091419_371_live,1,9,"Oh yeah, absolutely!!",,
20180808-032354_369_live,0,0,Just found out there are tons of sick kids right now over seas that need help,,
20180808-032354_369_live,1,0,wow that sounds like a problem,,
20180808-032354_369_live,0,1,It is a huge problem to them but you and I do not have that problem huh?,,Proposed Social Status +
20180808-032354_369_live,1,1,actually i have a kid that is sick and overseas right now,,Rejected Social Status +
20180808-032354_369_live,0,2,What are you doing to help?,,Proposed Social Good +
20180808-032354_369_live,1,2,donating money to them,EEPos+,Completed Social Good +
20180808-032354_369_live,0,3,You know there is an organization I donate money also too.,ERPos+,Proposed Closeness +
20180808-032354_369_live,1,3,tell me more?,,Completed Closeness +
20180808-032354_369_live,0,4,It is called 'Save the Children'.,,
20180808-032354_369_live,0,4,"It is an international organization that promotes children's rights, provides relief and helps support children in developing countries.",ERPos+,
20180808-032354_369_live,1,4,do they help kids in africa,ERNeg-,
20180808-032354_369_live,0,5,all developing countries in the world,ERPos+,
20180808-032354_369_live,1,5,"i notice they didnt send money to my child though, he is sick and overseas?",ERPos-,Proposed Social Good -
20180808-032354_369_live,0,6,I am sure it will get to your child.,,Rejected Social Good -
20180808-032354_369_live,1,6,well maybe you could donate to my child.,,Proposed Social Good +
20180808-032354_369_live,1,6,since you are so into helping out kids,,
20180808-032354_369_live,0,7,"It would be best to donate to a specialized organization to allocate the funds in a proper, efficient way so all children can get the maximum benefit from the money.",,Rejected Social Good +
20180808-032354_369_live,1,7,how do we do that,,
20180808-032354_369_live,0,8,The research team here will collect all donations and send it to the Save the Children.,,
20180808-032354_369_live,0,8,This lump sum will be used to buy mass quantities of supplies at inexpensive prices.,,
20180808-032354_369_live,1,8,how much will you donate,ERNeg-,Proposed Social Good +
20180808-032354_369_live,0,9,All of it,ERPos+,Completed Social Good +
20180808-032354_369_live,1,9,how much should i give?,,
20180808-032354_369_live,0,10,I would give all you have.,,
20180808-032354_369_live,0,10,"It would be easy for you to get it back but for the children, this would be huge",EEPos+,Proposed Social Status +
20180825-053544_897_live,0,0,Hi!,,
20180825-053544_897_live,0,0,Good morning!,,
20180825-053544_897_live,1,0,Good morning!,,
20180825-053544_897_live,1,0,How are you doing today?,,Proposed Closeness +
20180825-053544_897_live,0,1,I am good!,,Completed Closeness +
20180825-053544_897_live,0,1,I am trying to get my friends and others to donate their payment from this task to Save the Children.,,
20180825-053544_897_live,0,1,Save the Children is reputable and every dollar they raise goes to feed families.,ERPos+,
20180825-053544_897_live,1,1,What else can you tell me about the charity?,ERNeg-,
20180825-053544_897_live,1,1,Which countries do they work in?,ERNeg-,
20180825-053544_897_live,0,2,"Save the Children works for 18 countries in Africa, 5 countries in the Middle East and India and Pakistan.",ERPos+,
20180825-053544_897_live,1,2,How much of a donation would one have to make to feed a family for a week?,ERNeg-,
20180825-053544_897_live,0,3,5.00 a week would feed one family for a week.,EEPos+,
20180825-053544_897_live,0,3,Do you spend 5.00 a week on a coffee?,,Proposed Closeness +
20180825-053544_897_live,1,3,That's crazy!,,
20180825-053544_897_live,1,3,I spend more than that on coffee every week!,,Completed Closeness +
20180825-053544_897_live,0,4,Then would you be willing to donate all of the money you make on this hit to the organization?,EENeg-,Proposed Social Good +
20180825-053544_897_live,0,4,You could always donate more.,EENeg-,
20180825-053544_897_live,0,4,It is our moral responsibility to help feed the hungry.,EEPos+,
20180825-053544_897_live,1,4,I would do that,ERPos+,Completed Social Good +
20180825-053544_897_live,0,5,That's awesome!,EEPos+,
20180825-053544_897_live,0,5,"We are so lucky to live in a country where there is help available to us such as Medicaid, food banks and other organizations to help us.",,Proposed Social Status +
20180825-053544_897_live,0,5,"It is so unfair that any person in any country can go hungry,",,
20180825-053544_897_live,1,5,We really are.,ERPos+,Completed Closeness +
20180825-053544_897_live,1,5,We have SO many places to go to for help,ERPos+,Completed Social Status +
20180825-053544_897_live,0,6,"Yes, we do.",EEPos+,
20180825-053544_897_live,0,6,I hope that each of us can make a conscious decision to start donating some of our paychecks each week to help children and families around the world.,EEPos+,Proposed Social Good +
20180825-053544_897_live,1,6,I'm going to tell more people about the charity,,Completed Social Good +
20180825-053544_897_live,0,7,That is great!!,EEPos+,
20180825-053544_897_live,0,7,That is what we need!,,
20180825-053544_897_live,0,7,Do you live in the United States?,,
20180825-053544_897_live,1,7,"Yes, I do",,
20180825-053544_897_live,0,8,Me too!,,
20180825-053544_897_live,0,8,I am going to Kenya in December and I may try to see if there is anywhere there that I can donate some money.,ERPos+,
20180825-053544_897_live,0,8,"Wait, I should just go through Save the Children since I know they are reputable.",ERPos+,Proposed Closeness +
20180825-053544_897_live,1,8,I always prefer going through organizations I have researched to make sure they're reputable as well,,Completed Closeness +
20180825-053544_897_live,0,9,Exactly!,EEPos+,
20180825-053544_897_live,0,9,"Well, it was nice to meet you and thank you for agreeing to donate today!",,
20180825-053544_897_live,1,9,"Thank you, have a great day!",,
20180825-071459_643_live,0,0,Do you feel it is improtant to help the children of the world to get them a good meal atleast 2 times a day,,Proposed Closeness +
20180825-071459_643_live,1,0,Yes.,,Completed Closeness +
20180825-071459_643_live,1,0,Nutrition is important,,
20180825-071459_643_live,0,1,so will you donate to keep the children nourished and kept safe,ERNeg-,Proposed Social Good +
20180825-071459_643_live,1,1,I typically donate to local charities by giving food or cash.,EEPos+,Rejected Social Good +
20180825-071459_643_live,1,1,I sometimes question charities that I don't really know,ERPos-,Rejected Social Good +
20180825-071459_643_live,0,2,well with this charity we all know it is to help to save the children and I agree you should question other donations because together we can help keep the children nourished,ERPos+,Proposed Social Good +
20180825-071459_643_live,1,2,I just worry money I donate doesn't get to the children.,ERPos-,Rejected Social Good +
20180825-071459_643_live,0,3,I agree because as you have seen the commercials of the individual holding a little child asking for donations and all he is doing is getting to play with peoples emotions well with our organization we cut the cost of an actor and use that money to help the children,,
20180825-071459_643_live,1,3,That's fantastic.,ERPos+,
20180825-071459_643_live,1,3,And how do you make sure some local warlord doesn't get in the way of the charity?,ERNeg-,
20180825-071459_643_live,0,4,well we all know there is warlords everywhere even in the USA but we try our very best for our food items to reach the children,ERPos+,
20180825-071459_643_live,1,4,Warlords in the USA get elected to political office unfortunately.,ERPos-,
20180825-071459_643_live,0,5,yes we know this and they run the country but that is the virtues of a free nation,,
20180825-071459_643_live,1,5,"As long as my donation gets to the children, I will donate to the charity",ERPos+,Completed Social Good +
20180825-071459_643_live,0,6,Thank you for your donation as i guarantee you donation goes towards to the children,EEPos+,Proposed Closeness +
20180825-071459_643_live,0,6,How much would like to donate,EENeg-,Proposed Social Good +
20180825-071459_643_live,1,6,Half of whatever I am going to get paid for this task,ERPos+,Completed Social Good +
20180825-071459_643_live,0,7,Ok thank you,EEPos+,Proposed Closeness +
20180825-071459_643_live,1,7,Very welcome.,,Completed Closeness +
20180825-071459_643_live,1,7,Your work is appreciated,,
